200
s115 t200
t200 t121
t200 t201
s185 t201
s91 t201
t201 t181
t201 t126
t201 t202
s158 t202
t202 t21
t202 t145
t202 t96
t202 t203
s32 t203
t203 t68
t203 t204
s147 t204
t204 t31
t204 t205
s134 t205
t205 t39
t205 t206
s176 t206
t206 t55
t206 t207
s41 t207
s43 t207
t207 t119
t207 t208
s136 t208
t208 t150
t208 t209
s4 t209
t209 t48
t209 t52
t209 t155
t209 t210
s120 t210
t210 t174
t210 t66
t210 t211
s132 t211
s123 t211
t211 t118
t211 t212
s63 t212
s52 t212
s15 t212
t212 t166
t212 t213
s80 t213
t213 t57
t213 t98
t213 t14
t213 t117
t213 t214
s118 t214
t214 t30
t214 t215
s151 t215
s129 t215
s179 t215
t215 t60
t215 t216
s68 t216
s8 t216
t216 t11
t216 t124
t216 t217
s10 t217
s124 t217
s25 t217
t217 t165
t217 t218
s44 t218
t218 t189
t218 t219
s167 t219
t219 t113
t219 t220
s27 t220
s126 t220
t220 t190
t220 t221
s174 t221
t221 t170
t221 t222
s89 t222
s65 t222
t222 t5
t222 t29
t222 t28
t222 t223
s198 t223
s30 t223
t223 t77
t223 t198
t223 t224
s177 t224
t224 t131
t224 t225
s48 t225
t225 t144
t225 t226
s199 t226
s193 t226
t226 t18
t226 t102
t226 t227
s87 t227
t227 t110
t227 t228
s0 t228
t228 t140
t228 t229
s149 t229
t229 t34
t229 t230
s50 t230
s59 t230
s57 t230
t230 t72
t230 t231
s61 t231
t231 t85
t231 t232
s131 t232
t232 t159
t232 t233
s143 t233
s23 t233
s159 t233
t233 t53
t233 t234
s49 t234
s33 t234
s24 t234
t234 t74
t234 t130
t234 t164
t234 t235
s42 t235
t235 t78
t235 t236
s180 t236
t236 t81
t236 t135
t236 t237
s138 t237
t237 t180
t237 t69
t237 t162
t237 t75
t237 t238
s148 t238
t238 t89
t238 t95
t238 t1
t238 t239
s76 t239
t239 t10
t239 t240
s40 t240
t240 t22
t240 t17
t240 t241
s161 t241
t241 t112
t241 t76
t241 t242
s130 t242
t242 t153
t242 t243
s18 t243
s94 t243
s81 t243
t243 t176
t243 t244
s22 t244
s46 t244
s194 t244
t244 t161
t244 t245
s26 t245
s154 t245
s184 t245
t245 t86
t245 t108
t245 t246
s178 t246
s70 t246
t246 t109
t246 t36
t246 t64
t246 t247
s69 t247
t247 t103
t247 t160
t247 t248
s160 t248
s153 t248
s100 t248
t248 t197
t248 t249
s79 t249
s146 t249
t249 t107
t249 t250
s140 t250
s71 t250
t250 t12
t250 t106
t250 t251
s38 t251
t251 t80
t251 t114
t251 t252
s7 t252
s114 t252
t252 t3
t252 t253
s108 t253
s133 t253
t253 t128
t253 t254
s95 t254
s86 t254
t254 t192
t254 t255
s58 t255
t255 t7
t255 t256
s107 t256
s39 t256
t256 t100
t256 t257
s93 t257
s28 t257
t257 t23
t257 t258
s14 t258
s106 t258
t258 t143
t258 t259
s162 t259
t259 t169
t259 t260
s164 t260
s137 t260
s60 t260
t260 t42
t260 t261
s54 t261
t261 t65
t261 t120
t261 t93
t261 t262
s47 t262
s99 t262
t262 t152
t262 t9
t262 t40
t262 t263
s82 t263
s104 t263
t263 t73
t263 t264
s56 t264
t264 t147
t264 t265
s195 t265
t265 t186
t265 t84
t265 t125
t265 t266
s119 t266
t266 t139
t266 t156
t266 t267
s122 t267
t267 t183
t267 t268
s101 t268
t268 t142
t268 t27
t268 t32
t268 t4
t268 t185
t268 t269
s90 t269
t269 t15
t269 t270
s111 t270
t270 t105
t270 t271
s1 t271
t271 t171
t271 t272
s125 t272
t272 t20
t272 t273
s66 t273
t273 t151
t273 t274
s183 t274
s92 t274
t274 t25
t274 t275
s168 t275
s96 t275
t275 t193
t275 t276
s2 t276
t276 t16
t276 t277
s150 t277
s74 t277
t277 t79
t277 t278
s11 t278
t278 t37
t278 t279
s85 t279
t279 t111
t279 t280
s175 t280
t280 t127
t280 t281
s88 t281
s21 t281
t281 t175
t281 t282
s29 t282
s113 t282
t282 t43
t282 t70
t282 t283
s135 t283
t283 t178
t283 t284
s163 t284
t284 t199
t284 t285
s37 t285
t285 t101
t285 t136
t285 t286
s16 t286
t286 t184
t286 t104
t286 t71
t286 t287
s155 t287
t287 t88
t287 t288
s55 t288
s78 t288
s77 t288
t288 t191
t288 t289
s142 t289
t289 t8
t289 t290
s187 t290
t290 t24
t290 t291
s188 t291
t291 t82
t291 t292
s83 t292
t292 t187
t292 t115
t292 t293
s110 t293
s170 t293
t293 t146
t293 t94
t293 t116
t293 t294
s152 t294
s169 t294
s182 t294
s31 t294
t294 t13
t294 t295
s35 t295
t295 t177
t295 t296
s144 t296
s72 t296
t296 t87
t296 t47
t296 t297
s53 t297
s141 t297
t297 t49
t297 t149
t297 t298
s156 t298
t298 t173
t298 t299
s5 t299
t299 t195
t299 t54
t299 t300
s116 t300
t300 t45
t300 t301
s165 t301
t301 t44
t301 t302
s192 t302
t302 t122
t302 t6
t302 t303
s9 t303
t303 t46
t303 t134
t303 t304
s13 t304
t304 t168
t304 t83
t304 t305
s45 t305
t305 t19
t305 t63
t305 t306
s67 t306
t306 t182
t306 t307
s157 t307
s117 t307
s3 t307
t307 t172
t307 t308
s102 t308
s19 t308
t308 t163
t308 t309
s34 t309
s166 t309
t309 t2
t309 t310
s173 t310
s190 t310
t310 t35
t310 t311
s172 t311
s36 t311
t311 t0
t311 t312
s64 t312
t312 t154
t312 t313
s62 t313
s97 t313
s75 t313
s171 t313
s191 t313
s127 t313
t313 t138
s115 t148
s115 t50
s115 t38
s115 t33
s115 t51
s115 t56
s185 t97
s185 t129
s185 t194
s185 t38
s185 t33
s185 t123
s185 t41
s185 t188
s185 t196
s185 t61
s91 t56
s91 t123
s91 t61
s158 t51
s158 t188
s158 t181
s32 t196
s32 t126
s32 t145
s147 t123
s147 t41
s147 t188
s147 t61
s147 t21
s147 t145
s147 t96
s134 t158
s134 t41
s134 t196
s134 t121
s134 t126
s134 t21
s134 t145
s134 t68
s176 t61
s176 t121
s176 t181
s176 t96
s176 t31
s41 t51
s41 t196
s41 t126
s41 t145
s41 t96
s41 t68
s41 t31
s41 t39
s43 t179
s43 t50
s43 t194
s43 t123
s43 t61
s43 t121
s43 t31
s43 t39
s136 t33
s136 t51
s136 t56
s136 t41
s136 t188
s136 t121
s136 t126
s136 t21
s136 t96
s136 t68
s136 t31
s136 t39
s4 t33
s4 t196
s4 t61
s4 t181
s4 t96
s4 t31
s4 t55
s120 t188
s120 t61
s120 t121
s120 t181
s120 t126
s120 t145
s120 t96
s120 t68
s120 t31
s120 t39
s120 t55
s120 t119
s120 t48
s120 t52
s132 t38
s132 t121
s132 t21
s132 t31
s132 t39
s132 t55
s132 t119
s132 t150
s132 t48
s132 t52
s132 t155
s132 t174
s123 t56
s123 t41
s123 t21
s123 t31
s123 t55
s123 t150
s123 t48
s123 t155
s63 t68
s63 t39
s63 t119
s63 t52
s63 t174
s63 t66
s52 t155
s52 t174
s15 t39
s15 t55
s15 t119
s15 t150
s15 t52
s80 t55
s80 t150
s80 t155
s80 t174
s80 t66
s118 t68
s118 t39
s118 t48
s118 t155
s118 t66
s118 t118
s118 t166
s118 t57
s118 t98
s118 t14
s151 t55
s151 t119
s151 t155
s151 t174
s151 t66
s151 t166
s151 t57
s151 t98
s151 t14
s151 t117
s129 t57
s129 t14
s179 t66
s179 t57
s68 t66
s68 t118
s68 t57
s68 t117
s68 t30
s8 t98
s10 t66
s10 t118
s10 t98
s10 t14
s10 t117
s10 t30
s10 t60
s10 t11
s124 t30
s124 t60
s124 t11
s25 t98
s25 t60
s44 t11
s44 t124
s167 t117
s167 t30
s167 t124
s27 t174
s27 t117
s27 t30
s27 t60
s27 t124
s27 t165
s27 t189
s126 t118
s126 t14
s126 t30
s126 t11
s126 t124
s126 t165
s174 t124
s174 t165
s174 t189
s174 t113
s89 t117
s89 t30
s89 t60
s89 t165
s89 t189
s89 t113
s89 t190
s65 t60
s65 t189
s65 t190
s198 t118
s198 t14
s198 t113
s198 t190
s198 t170
s198 t5
s198 t29
s30 t189
s30 t5
s30 t29
s177 t11
s177 t189
s177 t113
s177 t170
s177 t29
s177 t28
s48 t113
s48 t5
s48 t28
s48 t77
s48 t198
s199 t113
s199 t170
s199 t5
s199 t29
s199 t28
s199 t77
s199 t198
s199 t131
s193 t29
s193 t28
s193 t77
s87 t190
s87 t170
s87 t29
s87 t28
s87 t77
s87 t131
s87 t144
s87 t18
s0 t190
s0 t170
s0 t198
s0 t131
s0 t144
s0 t102
s149 t190
s149 t77
s149 t102
s50 t28
s50 t144
