1000
s407 t1000
t1000 t784
t1000 t187
t1000 t1001
s887 t1001
t1001 t418
t1001 t1002
s602 t1002
s318 t1002
t1002 t168
t1002 t1003
s185 t1003
t1003 t204
t1003 t911
t1003 t994
t1003 t889
t1003 t1004
s395 t1004
s829 t1004
s877 t1004
s339 t1004
t1004 t860
t1004 t1005
s377 t1005
t1005 t863
t1005 t1006
s361 t1006
s515 t1006
t1006 t200
t1006 t287
t1006 t328
t1006 t1007
s32 t1007
t1007 t639
t1007 t1008
s119 t1008
t1008 t362
t1008 t236
t1008 t309
t1008 t1009
s362 t1009
s575 t1009
t1009 t428
t1009 t1010
s969 t1010
t1010 t904
t1010 t64
t1010 t1011
s360 t1011
t1011 t357
t1011 t358
t1011 t279
t1011 t1012
s634 t1012
t1012 t24
t1012 t1013
s962 t1013
s89 t1013
s483 t1013
s396 t1013
t1013 t504
t1013 t673
t1013 t1014
s70 t1014
s623 t1014
s624 t1014
s531 t1014
s440 t1014
t1014 t20
t1014 t1015
s983 t1015
t1015 t234
t1015 t1016
s781 t1016
t1016 t732
t1016 t1017
s871 t1017
s321 t1017
t1017 t953
t1017 t1018
s298 t1018
t1018 t930
t1018 t812
t1018 t1019
s422 t1019
s274 t1019
s19 t1019
t1019 t349
t1019 t1020
s689 t1020
s529 t1020
s612 t1020
s195 t1020
s16 t1020
t1020 t323
t1020 t562
t1020 t1021
s134 t1021
t1021 t247
t1021 t1022
s65 t1022
s731 t1022
s528 t1022
t1022 t11
t1022 t1023
s811 t1023
t1023 t439
t1023 t273
t1023 t838
t1023 t1024
s476 t1024
t1024 t152
t1024 t1025
s418 t1025
t1025 t19
t1025 t699
t1025 t956
t1025 t505
t1025 t802
t1025 t1026
s45 t1026
t1026 t92
t1026 t1027
s378 t1027
s792 t1027
t1027 t519
t1027 t818
t1027 t677
t1027 t140
t1027 t568
t1027 t1028
s300 t1028
t1028 t239
t1028 t1029
s509 t1029
s882 t1029
t1029 t789
t1029 t815
t1029 t1030
s315 t1030
t1030 t405
t1030 t1031
s157 t1031
t1031 t82
t1031 t635
t1031 t50
t1031 t51
t1031 t240
t1031 t1032
s382 t1032
s44 t1032
t1032 t714
t1032 t641
t1032 t1033
s835 t1033
t1033 t894
t1033 t1034
s736 t1034
t1034 t750
t1034 t1035
s151 t1035
t1035 t779
t1035 t1036
s914 t1036
t1036 t39
t1036 t694
t1036 t1037
s777 t1037
s397 t1037
t1037 t985
t1037 t524
t1037 t1038
s50 t1038
t1038 t259
t1038 t1039
