500
s54 t500
t500 t290
t500 t54
t500 t310
t500 t401
t500 t498
t500 t276
t500 t501
s480 t501
t501 t34
t501 t502
s143 t502
t502 t247
t502 t503
s139 t503
t503 t257
t503 t37
t503 t336
t503 t504
s403 t504
t504 t461
t504 t505
s280 t505
s461 t505
s451 t505
s396 t505
t505 t357
t505 t297
t505 t506
s368 t506
t506 t454
t506 t507
s247 t507
s275 t507
t507 t148
t507 t508
s410 t508
s98 t508
t508 t93
t508 t509
s183 t509
t509 t309
t509 t470
t509 t510
s362 t510
t510 t129
t510 t511
s421 t511
t511 t448
t511 t512
s286 t512
t512 t439
t512 t238
t512 t329
t512 t513
s52 t513
t513 t178
t513 t250
t513 t514
s476 t514
t514 t362
t514 t515
s418 t515
s144 t515
t515 t411
t515 t516
s103 t516
s483 t516
t516 t422
t516 t517
s376 t517
t517 t358
t517 t518
s457 t518
t518 t223
t518 t325
t518 t235
t518 t519
s320 t519
t519 t360
t519 t381
t519 t112
t519 t520
s407 t520
t520 t164
t520 t521
s414 t521
t521 t172
t521 t522
s487 t522
s316 t522
t522 t300
t522 t523
s135 t523
s81 t523
s180 t523
s447 t523
s386 t523
t523 t212
t523 t524
s279 t524
s494 t524
s91 t524
s217 t524
t524 t7
t524 t3
t524 t525
s36 t525
s463 t525
s374 t525
s495 t525
t525 t289
t525 t526
s392 t526
s263 t526
t526 t19
t526 t527
s189 t527
s78 t527
t527 t244
t527 t528
s491 t528
t528 t98
t528 t529
s140 t529
s245 t529
t529 t395
t529 t530
s438 t530
t530 t476
t530 t531
s221 t531
t531 t22
t531 t165
t531 t532
s94 t532
s493 t532
t532 t299
t532 t533
s132 t533
t533 t294
t533 t534
s252 t534
t534 t398
t534 t535
s204 t535
t535 t70
t535 t536
s253 t536
s234 t536
s238 t536
t536 t207
t536 t537
s104 t537
s145 t537
t537 t301
t537 t538
s76 t538
t538 t134
t538 t539
s431 t539
s25 t539
s18 t539
s347 t539
t539 t240
t539 t540
s61 t540
s15 t540
t540 t283
t540 t541
s470 t541
s323 t541
t541 t281
t541 t100
t541 t542
s127 t542
t542 t466
t542 t543
s128 t543
t543 t136
t543 t544
s378 t544
t544 t227
t544 t475
t544 t545
s1 t545
s44 t545
t545 t364
t545 t31
t545 t546
s212 t546
t546 t277
t546 t547
s157 t547
s75 t547
t547 t369
t547 t548
s27 t548
s331 t548
t548 t167
t548 t549
s318 t549
t549 t332
t549 t550
s293 t550
t550 t408
t550 t494
t550 t551
s478 t551
t551 t51
t551 t552
s46 t552
t552 t319
t552 t87
t552 t468
t552 t553
s210 t553
t553 t29
t553 t66
t553 t554
s390 t554
t554 t21
t554 t88
t554 t376
t554 t372
t554 t555
s327 t555
t555 t418
t555 t258
t555 t99
t555 t556
s47 t556
s283 t556
t556 t389
t556 t557
s214 t557
t557 t427
t557 t558
s467 t558
t558 t390
t558 t485
t558 t559
s314 t559
t559 t330
t559 t560
s34 t560
s401 t560
t560 t103
t560 t561
s425 t561
s345 t561
t561 t484
t561 t562
s248 t562
s492 t562
t562 t95
t562 t563
s137 t563
s126 t563
t563 t121
t563 t253
t563 t564
s196 t564
t564 t280
t564 t565
s294 t565
s39 t565
t565 t279
t565 t566
s71 t566
s195 t566
s229 t566
s193 t566
t566 t346
t566 t567
s64 t567
s246 t567
t567 t493
t567 t302
t567 t86
t567 t183
t567 t285
t567 t568
s423 t568
t568 t315
t568 t569
s309 t569
s109 t569
t569 t351
t569 t204
t569 t308
t569 t488
t569 t71
t569 t160
t569 t570
s488 t570
s319 t570
t570 t152
t570 t571
s102 t571
s95 t571
t571 t429
t571 t572
s302 t572
t572 t147
t572 t573
s235 t573
t573 t388
t573 t574
s335 t574
t574 t460
t574 t575
s99 t575
s373 t575
t575 t73
t575 t576
s344 t576
s332 t576
t576 t355
t576 t48
t576 t241
t576 t496
t576 t441
t576 t450
t576 t577
s290 t577
t577 t90
t577 t578
s269 t578
s297 t578
t578 t467
t578 t579
s232 t579
s481 t579
t579 t327
t579 t374
t579 t580
s148 t580
s163 t580
t580 t84
t580 t141
t580 t74
t580 t474
t580 t72
t580 t184
t580 t581
s120 t581
s289 t581
s149 t581
t581 t424
t581 t582
s365 t582
t582 t215
t582 t67
t582 t583
s367 t583
s452 t583
s417 t583
s174 t583
t583 t479
t583 t584
s361 t584
t584 t206
t584 t216
t584 t481
t584 t139
t584 t585
s432 t585
s277 t585
t585 t318
t585 t586
s28 t586
t586 t344
t586 t449
t586 t366
t586 t587
s225 t587
s45 t587
t587 t24
t587 t588
s105 t588
s427 t588
s211 t588
t588 t426
t588 t589
s194 t589
s429 t589
t589 t464
t589 t590
s382 t590
s237 t590
s341 t590
t590 t187
t590 t591
s262 t591
s371 t591
s147 t591
s265 t591
t591 t477
t591 t110
t591 t592
s10 t592
t592 t214
t592 t593
s370 t593
t593 t443
t593 t14
t593 t383
t593 t286
t593 t594
s422 t594
t594 t458
t594 t107
t594 t595
s357 t595
t595 t375
t595 t596
s122 t596
t596 t47
t596 t489
t596 t59
t596 t109
t596 t597
s190 t597
t597 t234
t597 t598
s450 t598
t598 t271
t598 t599
s16 t599
t599 t192
t599 t600
s184 t600
t600 t229
t600 t601
s430 t601
s154 t601
t601 t245
t601 t370
t601 t602
s412 t602
t602 t142
t602 t495
t602 t603
s363 t603
s310 t603
t603 t130
t603 t604
s155 t604
t604 t170
t604 t436
t604 t1
t604 t605
s244 t605
t605 t77
t605 t144
t605 t606
s156 t606
t606 t150
t606 t607
s349 t607
t607 t161
t607 t608
s209 t608
t608 t306
t608 t219
t608 t609
s273 t609
s171 t609
s191 t609
t609 t421
t609 t610
s274 t610
t610 t120
t610 t611
s389 t611
t611 t231
t611 t69
t611 t612
s172 t612
t612 t414
t612 t613
s35 t613
s199 t613
s437 t613
t613 t380
t613 t459
t613 t614
s364 t614
t614 t356
t614 t491
t614 t615
s9 t615
t615 t163
t615 t616
s312 t616
t616 t174
t616 t617
s21 t617
t617 t177
t617 t201
t617 t262
t617 t618
s72 t618
s353 t618
t618 t39
t618 t619
s278 t619
t619 t413
t619 t384
t619 t620
s486 t620
s291 t620
t620 t44
t620 t621
s77 t621
s53 t621
t621 t169
t621 t622
s185 t622
t622 t323
t622 t623
s442 t623
s359 t623
t623 t326
t623 t624
s360 t624
t624 t419
t624 t367
t624 t625
s435 t625
t625 t252
t625 t145
t625 t626
s400 t626
s141 t626
t626 t313
t626 t627
s453 t627
s215 t627
s31 t627
s372 t627
t627 t157
t627 t628
s51 t628
s282 t628
s90 t628
s337 t628
t628 t113
t628 t629
s300 t629
s86 t629
t629 t397
t629 t630
s178 t630
t630 t348
t630 t631
s37 t631
s328 t631
t631 t407
t631 t632
s19 t632
s60 t632
t632 t133
t632 t499
t632 t266
t632 t633
s207 t633
t633 t469
t633 t634
s377 t634
s257 t634
t634 t58
t634 t635
s131 t635
t635 t104
t635 t636
s366 t636
s482 t636
t636 t416
t636 t637
s92 t637
t637 t171
t637 t638
s124 t638
s182 t638
t638 t438
t638 t472
t638 t50
t638 t639
s2 t639
s119 t639
s402 t639
t639 t92
t639 t640
s115 t640
s224 t640
t640 t125
t640 t641
s356 t641
s416 t641
t641 t255
t641 t49
t641 t642
s395 t642
t642 t36
t642 t643
s33 t643
t643 t393
t643 t644
s350 t644
t644 t23
t644 t645
s23 t645
t645 t242
t645 t646
s100 t646
t646 t53
t646 t153
t646 t647
s444 t647
s259 t647
s83 t647
t647 t105
t647 t162
t647 t648
s405 t648
t648 t312
t648 t649
s205 t649
t649 t483
t649 t354
t649 t650
s292 t650
s188 t650
s266 t650
t650 t437
t650 t651
s339 t651
t651 t371
t651 t652
s369 t652
t652 t391
t652 t653
s8 t653
s73 t653
t653 t179
t653 t361
t653 t654
s186 t654
t654 t52
t654 t655
s129 t655
s22 t655
t655 t175
t655 t656
s270 t656
t656 t154
t656 t657
s4 t657
t657 t61
t657 t116
t657 t658
s242 t658
t658 t274
t658 t89
t658 t659
s113 t659
s58 t659
t659 t205
t659 t394
t659 t660
s13 t660
t660 t305
t660 t661
s112 t661
t661 t352
t661 t487
t661 t17
t661 t662
s152 t662
s5 t662
t662 t303
t662 t345
t662 t218
t662 t400
t662 t423
t662 t340
t662 t111
t662 t663
s465 t663
t663 t273
t663 t471
t663 t363
t663 t664
s315 t664
t664 t430
t664 t64
t664 t665
s426 t665
t665 t334
t665 t666
s497 t666
t666 t4
t666 t667
s393 t667
t667 t102
t667 t668
s334 t668
s466 t668
s446 t668
t668 t217
t668 t409
t668 t669
s222 t669
